type,wall_time,time_s,addr,ratio,label
DATA,2026-01-27T16:31:15,33.631,0x77,0.085331,background
DATA,2026-01-27T16:31:15,33.810,0x76,0.082275,background
DATA,2026-01-27T16:31:15,33.810,0x77,0.087075,background
DATA,2026-01-27T16:31:15,34.034,0x76,0.084651,background
DATA,2026-01-27T16:31:15,34.034,0x77,0.090681,background
DATA,2026-01-27T16:31:16,34.213,0x76,0.086029,background
DATA,2026-01-27T16:31:16,34.213,0x77,0.094764,background
DATA,2026-01-27T16:31:16,34.437,0x76,0.085387,background
DATA,2026-01-27T16:31:16,34.437,0x77,0.096627,background
DATA,2026-01-27T16:31:16,34.616,0x76,0.085646,background
DATA,2026-01-27T16:31:16,34.616,0x77,0.097118,background
DATA,2026-01-27T16:31:16,34.839,0x76,0.085619,background
DATA,2026-01-27T16:31:16,34.839,0x77,0.096651,background
DATA,2026-01-27T16:31:16,35.018,0x76,0.085405,background
DATA,2026-01-27T16:31:16,35.018,0x77,0.094452,background
DATA,2026-01-27T16:31:17,35.242,0x76,0.086529,background
DATA,2026-01-27T16:31:17,35.242,0x77,0.096917,background
DATA,2026-01-27T16:31:17,35.423,0x76,0.085034,background
DATA,2026-01-27T16:31:17,35.423,0x77,0.096801,background
DATA,2026-01-27T16:31:17,35.603,0x76,0.085398,background
DATA,2026-01-27T16:31:17,35.603,0x77,0.094124,background
DATA,2026-01-27T16:31:17,35.830,0x76,0.079512,background
DATA,2026-01-27T16:31:17,35.830,0x77,0.088386,background
DATA,2026-01-27T16:31:17,36.010,0x76,0.077300,background
DATA,2026-01-27T16:31:17,36.010,0x77,0.087563,background
DATA,2026-01-27T16:31:18,36.237,0x76,0.078442,background
DATA,2026-01-27T16:31:18,36.237,0x77,0.090585,background
DATA,2026-01-27T16:31:18,36.417,0x76,0.084693,background
DATA,2026-01-27T16:31:18,36.417,0x77,0.094354,background
DATA,2026-01-27T16:31:18,36.641,0x76,0.085921,background
DATA,2026-01-27T16:31:18,36.641,0x77,0.096571,background
DATA,2026-01-27T16:31:18,36.820,0x76,0.084701,background
DATA,2026-01-27T16:31:18,36.820,0x77,0.096605,background
DATA,2026-01-27T16:31:18,37.000,0x76,0.084406,background
DATA,2026-01-27T16:31:18,37.000,0x77,0.093820,background
DATA,2026-01-27T16:31:19,37.224,0x76,0.078609,background
DATA,2026-01-27T16:31:19,37.224,0x77,0.088232,background
DATA,2026-01-27T16:31:19,37.403,0x76,0.076268,background
DATA,2026-01-27T16:31:19,37.403,0x77,0.087028,background
DATA,2026-01-27T16:31:19,37.627,0x76,0.070591,background
DATA,2026-01-27T16:31:19,37.627,0x77,0.082478,background
DATA,2026-01-27T16:31:19,37.806,0x76,0.075604,background
DATA,2026-01-27T16:31:19,37.806,0x77,0.083427,background
DATA,2026-01-27T16:31:19,38.030,0x76,0.070301,background
DATA,2026-01-27T16:31:19,38.030,0x77,0.084675,background
DATA,2026-01-27T16:31:20,38.209,0x76,0.075579,background
DATA,2026-01-27T16:31:20,38.209,0x77,0.083742,background
DATA,2026-01-27T16:31:20,38.433,0x76,0.070228,background
DATA,2026-01-27T16:31:20,38.433,0x77,0.082419,background
DATA,2026-01-27T16:31:20,38.612,0x76,0.070760,background
DATA,2026-01-27T16:31:20,38.612,0x77,0.086738,background
DATA,2026-01-27T16:31:20,38.835,0x76,0.077679,background
DATA,2026-01-27T16:31:20,38.835,0x77,0.090755,background
DATA,2026-01-27T16:31:20,39.015,0x76,0.084607,background
DATA,2026-01-27T16:31:20,39.015,0x77,0.094131,background
DATA,2026-01-27T16:31:21,39.238,0x76,0.085668,background
DATA,2026-01-27T16:31:21,39.238,0x77,0.096437,background
DATA,2026-01-27T16:31:21,39.418,0x76,0.078481,background
DATA,2026-01-27T16:31:21,39.418,0x77,0.093468,background
DATA,2026-01-27T16:31:21,39.641,0x76,0.079277,background
DATA,2026-01-27T16:31:21,39.641,0x77,0.095966,background
DATA,2026-01-27T16:31:21,39.820,0x76,0.078093,background
DATA,2026-01-27T16:31:21,39.820,0x77,0.096466,background
DATA,2026-01-27T16:31:21,40.000,0x76,0.078645,background
DATA,2026-01-27T16:31:21,40.000,0x77,0.096864,background
DATA,2026-01-27T16:31:22,40.223,0x76,0.072208,background
DATA,2026-01-27T16:31:22,40.223,0x77,0.088101,background
DATA,2026-01-27T16:31:22,40.403,0x76,0.071228,background
DATA,2026-01-27T16:31:22,40.403,0x77,0.087374,background
DATA,2026-01-27T16:31:22,40.626,0x76,0.070286,background
DATA,2026-01-27T16:31:22,40.626,0x77,0.082625,background
DATA,2026-01-27T16:31:22,40.805,0x76,0.070542,background
DATA,2026-01-27T16:31:22,40.805,0x77,0.083650,background
DATA,2026-01-27T16:31:22,41.029,0x76,0.070016,background
DATA,2026-01-27T16:31:22,41.029,0x77,0.081775,background
DATA,2026-01-27T16:31:23,41.208,0x76,0.070266,background
DATA,2026-01-27T16:31:23,41.208,0x77,0.086671,background
DATA,2026-01-27T16:31:23,41.432,0x76,0.069979,background
DATA,2026-01-27T16:31:23,41.432,0x77,0.082817,background
DATA,2026-01-27T16:31:23,41.612,0x76,0.070694,background
DATA,2026-01-27T16:31:23,41.612,0x77,0.086803,background
DATA,2026-01-27T16:31:23,41.835,0x76,0.077049,background
DATA,2026-01-27T16:31:23,41.835,0x77,0.091281,background
DATA,2026-01-27T16:31:23,42.016,0x76,0.078021,background
DATA,2026-01-27T16:31:23,42.016,0x77,0.095670,background
DATA,2026-01-27T16:31:24,42.242,0x76,0.078059,background
DATA,2026-01-27T16:31:24,42.242,0x77,0.098011,background
DATA,2026-01-27T16:31:24,42.423,0x76,0.078227,background
DATA,2026-01-27T16:31:24,42.423,0x77,0.098326,background
DATA,2026-01-27T16:31:24,42.604,0x76,0.077984,background
DATA,2026-01-27T16:31:24,42.604,0x77,0.096026,background
DATA,2026-01-27T16:31:24,42.829,0x76,0.071573,background
DATA,2026-01-27T16:31:24,42.829,0x77,0.092472,background
DATA,2026-01-27T16:31:24,43.008,0x76,0.071061,background
DATA,2026-01-27T16:31:24,43.008,0x77,0.091684,background
DATA,2026-01-27T16:31:25,43.232,0x76,0.069740,background
DATA,2026-01-27T16:31:25,43.232,0x77,0.086593,background
DATA,2026-01-27T16:31:25,43.413,0x76,0.070210,background
DATA,2026-01-27T16:31:25,43.413,0x77,0.091371,background
